bucket,sample_idx,duration_ms
silence,0,2.1874
silence,1,1.9541
silence,2,2.4587
silence,3,2.3924
silence,4,1.9955
silence,5,1.9217
silence,6,1.8543
silence,7,2.4886
silence,8,1.9321
silence,9,2.0502
silence,10,2.4868
silence,11,5.3491
silence,12,4.0438
silence,13,4.6365
silence,14,2.2821
silence,15,3.5855
silence,16,3.6039
silence,17,4.1864
silence,18,3.6522
deviation,0,4.5019
deviation,1,3.3814
deviation,2,3.2802
locked,0,3.7591
locked,1,5.2328
locked,2,4.7646
locked,3,3.4305
locked,4,3.6016
locked,5,3.6594
locked,6,4.0368
locked,7,4.2982
